index,Name,Hall_of_Fame_Class,Year_Drafted,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
16,Calvin Garrett,,1980,70,23.4,6.1,2.7,5.9,45.3,0,0,33.3,0.7,0.9,80.6,1.2,2.6,3.8,1.9,0.7,0.1,1.3,7.9
17,Cedrick Hordges,,1980,68,23.5,8.4,3.3,7.1,46,0,0,0,1.9,2.7,69.9,1.8,5,6.7,1.5,0.5,0.3,1.8,11
18,Charles Whitney,,1980,47,16.6,7.4,3.2,6.5,48.7,0,0.1,33.3,1.1,1.4,76.9,0.6,1.6,2.3,1.4,1,0.1,1,7.6
19,Craig Shelton,,1980,55,10.7,4.3,1.8,4,45.7,0,0,0,0.6,1.1,60.3,1.1,1.4,2.5,0.5,0.3,0.1,1.1,4
20,Darrell Griffith,,1980,81,35.4,20.6,8.8,19.1,46.4,0.1,0.6,19.2,2.8,4,71.6,1,2.6,3.6,2.4,1.3,0.5,2.9,14.2
21,Darwin Cook,,1980,81,24.4,11.2,4.7,10.1,46.8,0.1,0.3,24,1.6,2.2,73.3,1.2,1.7,2.9,3.7,1.7,0.4,2.2,11.8
22,Dewayne Scales,,1980,44,11,4.9,2.1,5.1,41.8,0,0.1,16.7,0.6,0.9,66.7,1.1,1.9,3,0.2,0.3,0.1,0.7,4.5
23,Don Collins,,1980,81,22.8,11.5,4.4,10,44.4,0,0.1,0,2.6,3.4,77.6,1.6,1.7,3.3,2.3,1.3,0.3,2.1,10.3
24,Earl Cureton,,1980,52,10.2,4.2,1.8,3.9,45.4,0,0,0,0.6,1.2,51.6,1,2,3,0.5,0.4,0.4,0.6,5.2
25,Edgar Jones,,1980,60,15.8,8.7,3.2,6,52.9,0,0.1,0,2.4,3.6,67,1.5,2.9,4.4,0.7,0.6,1.4,1.7,10.1
26,James Donaldson,,1980,68,14.4,5.3,1.9,3.5,54.2,0,0,0,1.5,2.5,59.4,1.6,3,4.5,0.6,0.1,1.1,1,8
27,James Wilkes,,1980,48,11.3,4.1,1.8,3.8,46.2,0,0,0,0.6,0.9,69,0.8,1.3,2,0.6,0.5,0.3,0.7,4.5
28,Jeff Wilkins,,1980,56,18.9,4.7,2.1,4.6,45,0,0,-,0.5,0.7,67.5,1.1,3.8,4.9,0.7,0.6,0.8,1.1,7.8
29,Jerry Sichting,,1980,47,9.6,2,0.7,2,35.8,0,0.1,0,0.5,0.7,78.1,0.2,0.7,0.9,1.5,0.5,0,0.6,2.9
30,Joe Barry Carroll,,1980,82,35.6,18.9,7.5,15.3,49.1,0,0,0,3.8,5.4,71.6,3.3,5.9,9.3,1.4,0.6,1.5,3,19.4
31,John Duren,,1980,40,11.5,1.8,0.8,2.5,32.7,0,0,0,0.1,0.2,55.6,0.2,0.7,0.9,1.4,0.5,0.1,0.9,1.8
32,Johnny Moore,,1980,82,19.2,7.4,3,6.3,47.9,0,0.2,5.3,1.3,2.1,61,0.7,1.7,2.4,4.5,1.5,0.3,1.9,10
33,Kelvin Ransey,,1980,80,30.4,15.2,6.6,14.5,45.2,0,0.4,9.7,2.1,2.7,74.9,0.5,1.9,2.4,6.9,1.1,0.1,2.9,14.3
34,Kevin McHale,1999,1980,82,20.1,10,4.3,8.1,53.3,0,0,0,1.3,1.9,67.9,1.9,2.5,4.4,0.7,0.3,1.8,1.3,11.4
35,Kiki Vandeweghe,,1980,51,27,11.5,4.5,10.5,42.6,0,0.1,0,2.5,3.1,81.8,1.7,3.6,5.3,1.8,0.6,0.5,1.7,11.4
36,Kyle Macy,,1980,82,17.9,8.1,3.3,6.5,51.1,0.1,0.6,23.5,1.3,1.5,89.9,0.5,1.1,1.6,2,0.9,0.1,1.2,8.2
37,Larry Drew,,1980,76,20.8,6.6,2.6,6.4,40.7,0.1,0.2,23.5,1.4,1.8,79.7,0.3,1.3,1.6,3.3,1.2,0.1,2.2,6.4
38,Larry Smith,,1980,82,31.4,9.6,3.7,7.2,51.2,0,0,0,2.2,3.7,58.8,5.3,6.8,12.1,1.1,0.8,0.8,1.8,17.6
39,Lorenzo Romar,,1980,53,13.7,4.1,1.6,4,41.2,0,0.1,33.3,0.8,1.2,68.3,0.2,0.9,1.1,2.6,0.5,0.1,1,4.6
40,Louis Orr,,1980,82,21.8,10.5,4.2,8.6,49.1,0,0.1,0,2,2.5,80.7,2.1,2.3,4.4,1.6,0.7,0.3,1.5,11.1
41,Lowes Moore,,1980,71,19.8,7,3,6.7,44.4,0.1,0.4,14.8,1,1.3,75,0.6,1.8,2.4,3.2,0.9,0.2,1.5,8.1
42,Michael Brooks,,1980,82,30.2,14.7,6,12.4,47.9,0,0.1,0,2.8,3.9,70.6,2.6,2.8,5.4,2.5,1.2,0.4,2,14.6
43,Mike Gminski,,1980,56,28.2,13.2,5.2,12.3,42.3,0,0,0,2.8,3.6,76.7,2.4,5,7.5,1.3,1,1.8,2.3,14.5
44,Mike Harper,,1980,55,8.4,2.7,1,2.5,41.2,0,0.1,0,0.7,1.5,43.5,0.5,1.2,1.7,0.3,0.4,0.4,0.6,2.6
45,Mike Niles,,1980,44,5.3,2.6,1.1,3.1,34.8,0,0.1,50,0.4,0.8,45.9,0.6,0.7,1.3,0.3,0.2,0,0.6,1.4
46,Mike O'Koren,,1980,79,31.3,11,4.6,9.5,48.6,0.1,0.2,27.8,1.7,2.7,63.7,2.3,3.8,6.1,3.2,1.1,0.3,1.9,14
47,Mike Woodson,,1980,81,11.7,4.7,2,4.6,44.2,0,0.1,20,0.6,0.8,76.6,0.4,0.8,1.2,0.9,0.4,0.1,0.7,4
48,Reggie Carter,,1980,60,8.9,2.8,1,3,33,0,0.1,0,0.9,1.2,73.9,0.5,0.7,1.2,1.3,0.4,0,0.6,2.7
49,Reggie Johnson,,1980,79,21.7,10.2,4.3,8.6,49.9,0,0,0,1.6,2.4,66.3,1.7,2.9,4.5,1,0.6,0.6,1.6,10.1
50,Rick Mahorn,,1980,52,13.4,4.8,2.1,4.2,50.7,0,0,0,0.5,0.8,67.5,1.3,2.8,4.1,0.5,0.4,0.8,0.7,7.6
51,Rickey Brown,,1980,45,12.9,4,1.8,3.6,51.2,0,0,0,0.4,0.5,76.2,1.2,2.5,3.7,0.5,0.2,0.3,0.7,6.2
52,Sam Worthen,,1980,64,14.8,3.7,1.5,3,49.5,0,0.1,0,0.7,0.9,75,0.3,1.5,1.8,1.8,0.9,0.1,1.4,5.1
53,Wayne Robinson,,1980,81,19.7,7.9,2.9,6.3,46,0,0.1,0,2.2,3,72.9,1.4,2.2,3.6,1.4,0.6,0.3,1.8,7.8
54,Albert King,,1981,76,22.3,12.1,5.1,10.7,48.2,0,0.2,23.1,1.8,2.3,77.8,1.4,2.7,4.1,1.9,0.8,0.5,2.4,11
55,Alex Bradley,,1981,39,8.5,3.5,1.4,2.6,52.4,0,0,0,0.7,1.2,60.4,0.8,0.9,1.7,0.3,0.3,0.1,0.7,3.4
56,Alton Lister,,1981,80,14.8,4.5,1.9,3.6,51.9,0,0,0,0.8,1.5,52,1.4,3.5,4.8,1.1,0.2,1.5,1.6,8
57,Bobby Cattage,,1981,49,6.9,3.1,1.2,2.8,44.4,0,0,0,0.6,0.8,73.2,0.4,1,1.5,0.1,0.1,0,0.4,2.7
58,Buck Williams,,1981,82,34.5,15.5,6.3,10.7,58.2,0,0,0,3,4.7,62.4,4.2,8,12.3,1.3,1,1,2.9,21.9
59,Charles Bradley,,1981,51,6.6,3,1.1,2.4,45.1,0,0,0,0.8,1.2,67.7,0.2,0.5,0.7,0.4,0.3,0.1,0.7,2.1
60,Charlie Davis,,1981,54,10.6,3.8,1.6,3.4,47.8,0,0,0,0.6,0.7,81.1,1,1.5,2.5,0.6,0.2,0.2,0.8,4.6
61,Dan Schayes,,1981,82,19.8,7.9,3.1,6.4,48.1,0,0,0,1.7,2.3,75.7,1.6,3.6,5.2,1.8,0.6,0.9,1.8,10.6
62,Danny Ainge,,1981,53,10.6,4.1,1.5,4.2,35.7,0.1,0.3,29.4,1.1,1.2,86.2,0.5,0.6,1.1,1.6,0.7,0.1,1,3.7
63,Danny Vranes,,1981,77,14,4.9,1.9,3.4,54.6,0,0,0,1.2,1.9,60.1,0.9,1.6,2.6,0.7,0.4,0.3,0.9,5.6
64,Darnell Valentine,,1981,82,16.9,6.4,2.3,5.5,41.3,0,0.1,0,1.9,2.4,76,0.6,1.2,1.8,3.3,1.1,0,1.6,7.3
65,Ed Rains,,1981,49,13,3.9,1.6,3.6,43.5,0,0,0,0.8,1.3,59.4,0.8,0.9,1.6,0.8,0.4,0,0.5,3.7
66,Eddie Johnson,,1981,74,20.5,9.3,4,8.7,45.9,0,0.1,9.1,1.3,2,66.4,1.7,2.6,4.4,1.5,0.7,0.2,1.3,9.3
67,Elston Turner,,1981,80,25,8.3,3.5,8,44.1,0,0.1,0,1.2,1.7,70.3,1.8,2,3.8,2.4,0.9,0,1.4,8.9
68,Frank Johnson,,1981,79,25.7,10.7,4.3,10.3,41.4,0.2,1,21.5,1.9,2.6,75,0.4,1.4,1.9,4.8,1,0.1,2,9.7
69,Franklin Edwards,,1981,42,6.9,3.6,1.5,3.6,43.3,0,0.2,0,0.5,0.6,74.1,0.2,0.4,0.6,1.1,0.4,0.1,0.6,3
70,Garry Witts,,1981,46,10.7,2.9,1.1,1.8,58.3,0,0,50,0.7,0.9,82.5,0.6,0.7,1.3,0.8,0.4,0.1,0.8,3.8
71,Gene Banks,,1981,80,21.3,9.6,3.9,8.2,47.7,0,0.1,0,1.8,2.7,68.4,2,3.2,5.1,1.8,0.7,0.2,1.3,11
72,Herb Williams,,1981,82,27.8,11.5,5,10.4,47.7,0,0.1,28.6,1.5,2.3,67,2.1,5.2,7.4,1.7,0.7,2.2,1.7,15.5
73,Howard Wood,,1981,42,8.1,3.4,1.3,2.9,45.8,0,0,0,0.8,1.2,65.4,0.5,1,1.5,0.2,0.2,0.1,0.4,3.2
74,Isiah Thomas,2000,1981,72,33.8,17,6.3,14.8,42.4,0.2,0.8,28.8,4.2,6,70.4,0.8,2.1,2.9,7.8,2.1,0.2,4.2,15.6
75,Jay Vincent,,1981,81,32.4,21.4,8.9,17.9,49.7,0,0,25,3.6,5,71.6,2.2,4.7,7,2.2,1.1,0.3,2.4,19.1
76,Jeff Lamp,,1981,54,11.4,4.6,1.9,3.6,51,0,0,0,0.9,1.1,82,0.4,0.7,1.2,0.5,0.3,0,0.8,3.8
77,Jeff Ruland,,1981,82,27,14.4,5.1,9.1,56.1,0,0,33.3,4.2,5.5,75.2,3.1,6.2,9.3,1.6,0.5,0.7,2.9,18.3
78,Jim Brogan,,1981,63,16.3,6.3,2.6,5.8,45.3,0.1,0.5,28.1,1,1.3,72.6,1,0.9,1.9,2.5,0.8,0.2,1.3,6.9
79,Jim Smith,,1981,72,11.9,2.9,1.2,2.3,50.9,0,0,-,0.5,1.2,45.9,1,1.5,2.5,0.6,0.3,0.7,0.7,4.7
80,John Douglas,,1981,64,16.1,7,2.8,6.1,46.5,0.3,0.9,30.5,1,1.6,65.7,0.4,1,1.4,2.3,0.8,0.1,1.4,6.3
81,Kelly Tripucka,,1981,82,37.5,21.6,7.8,15.6,49.6,0.1,0.3,22.7,6,7.6,79.7,2.7,2.7,5.4,3.3,1.1,0.2,3.4,18.8
82,Kevin Loder,,1981,71,16,6.9,2.9,6.3,46.4,0,0.2,0,1.1,1.5,72,1,1.8,2.7,1.2,0.5,0.4,1,7.1
83,Kevin McKenna,,1981,36,6.6,1.9,0.8,2.4,32.2,0,0.1,0,0.3,0.5,64.7,0.5,0.3,0.8,0.4,0.3,0.1,0.6,1
84,Kurt Nimphius,,1981,63,17.2,5.3,2.2,4.7,46.1,0,0,-,1,1.7,58.3,1.5,3.2,4.7,1,0.3,1.3,0.9,8.4
85,Kurt Rambis,,1981,64,17.7,4.6,1.8,3.6,51.8,0,0,0,0.9,1.8,50.4,1.8,3.6,5.4,0.9,0.9,1.2,1.2,9.2
86,Larry Nance,,1981,80,14.8,6.6,2.8,5.5,52.1,0,0,0,0.9,1.5,64.1,1.2,2,3.2,1,0.5,0.9,1.3,7.8
87,Mark Aguirre,,1981,51,28.8,18.7,7.5,16.1,46.5,0.5,1.4,35.2,3.3,4.8,68,1.7,3.1,4.9,3.2,0.7,0.4,2.6,15.2
88,Mark Radford,,1981,43,8.6,3.4,1.3,2.3,54,0,0.1,66.7,0.8,1.6,50.7,0.3,0.4,0.7,1.3,0.4,0.1,1,3
89,Mike McGee,,1981,39,9,4.9,2.1,4.4,46.5,0,0.1,0,0.8,1.4,58.5,0.9,0.4,1.3,0.4,0.5,0.1,0.9,3.3
90,Orlando Woolridge,,1981,75,15.8,7.3,2.7,5.3,51.3,0,0,0,1.9,2.7,69.9,1.1,1.9,3,1.1,0.3,0.3,1.4,7.2
91,Peter Verhoeven,,1981,71,17,4.9,2.1,4.2,50.3,0,0,-,0.7,1,70.8,1.5,2.1,3.6,0.7,0.6,0.3,0.8,7
92,Petur Gudmundsson,,1981,68,12.4,3.2,1.2,2.4,50,0,0,100,0.8,1.1,68.4,0.8,2,2.7,0.9,0.2,0.4,1.1,4.8
93,Ray Blume,,1981,49,11.1,4.6,2.1,4.5,45.9,0.1,0.4,22.2,0.4,0.6,64.3,0.3,0.6,0.8,1.4,0.5,0,1.1,3.6
94,Rolando Blackman,,1981,82,24.1,13.3,5.4,10.4,51.3,0,0,25,2.6,3.4,76.8,1.2,1.9,3.1,1.3,0.6,0.4,1.4,11.4
95,Rudy Macklin,,1981,79,19.2,7,2.7,6.1,43.4,0,0,0,1.7,2.2,77.5,1.4,1.9,3.3,0.6,0.5,0.3,1.4,6.3
96,Samuel Williams,,1981,59,18.2,6.1,2.6,4.7,55.6,0,0,-,0.8,1.5,55.1,1.5,3.7,5.2,0.6,0.8,1.3,1.1,10.1
97,Steve Johnson,,1981,78,22.3,12.8,5.1,8.3,61.3,0,0,0,2.7,4.2,64.2,1.9,3.9,5.9,1.2,0.5,1.1,2.5,14.3
98,Tom Chambers,,1981,81,33.1,17.2,6.8,13,52.5,0,0,0,3.5,5.7,62,2.6,4.3,6.9,1.8,0.7,0.6,2.7,16.1
99,Bill Garnett,,1982,75,18.8,6.3,2.3,4.3,53.3,0,0,0,1.7,2.3,74.1,1.9,3.5,5.4,1.4,0.6,0.9,1.1,10.9
100,Brook Steppe,,1982,62,9.8,4,1.4,2.8,47.7,0,0.1,14.3,1.2,1.6,76,0.4,0.8,1.2,1.1,0.4,0.1,0.9,3.9
101,Bruce Flowers,,1982,53,13.2,4.9,2.1,3.9,53.4,0,0,0,0.8,1,77.4,1.3,2.1,3.4,0.9,0.4,0.2,0.8,6.9
102,Bryan Warrick,,1982,43,16.9,4,1.5,4,38,0,0.1,0,1,1.3,73.7,0.3,1.3,1.6,2.9,0.5,0.2,1.6,4.7
103,Chris Engler,,1982,54,6.8,1.5,0.7,1.7,40.4,0,0,0,0.1,0.3,31.3,0.8,1.1,1.9,0.2,0.1,0.3,0.4,2.4
104,Clark Kellogg,,1982,81,34.1,20.1,8.4,17.5,47.9,0,0.2,22.2,3.2,4.3,74.1,4.2,6.4,10.6,2.8,1.7,0.5,2.7,22.8
105,Cliff Levingston,,1982,62,14.2,5.6,2.1,4.4,48.5,0,0,0,1.4,2.4,57.1,1.7,2.1,3.7,0.8,0.4,0.6,1.2,6.7
106,Corny Thompson,,1982,44,11.8,2.8,1,3.1,31.4,0,0,0,0.8,1,78.3,0.9,1.8,2.7,0.8,0.3,0.2,0.7,3.6
107,Craig Hodges,,1982,76,26.6,9.9,4.2,9.3,45.2,0.3,1.2,22.2,1.2,1.7,72.3,0.7,0.9,1.6,3.6,1.1,0.1,2.1,8.6
108,Darren Tillis,,1982,52,10.1,3.2,1.5,3.5,42,0,0,0,0.3,0.5,57.1,0.8,1.7,2.5,0.3,0.1,0.6,0.4,4.1
109,Dave Batton,,1982,54,10.3,3.3,1.6,3.5,44.5,0,0.1,0,0.1,0.3,47.1,0.8,1.4,2.2,0.5,0.3,0.2,0.5,3.9
110,David Thirdkill,,1982,49,10.6,4,1.5,3.5,43.5,0,0.1,14.3,0.9,1.6,57.7,0.6,0.9,1.5,0.7,0.4,0.1,1,3
111,Dominique Wilkins,2006,1982,82,32.9,17.5,7.3,14.9,49.3,0,0.1,18.2,2.8,4.1,68.2,2.8,3.1,5.8,1.6,1,0.8,2.2,15.6
112,Ed Nealy,,1982,82,20,4.4,1.8,3,59.5,0,0,0,0.9,1.4,61.4,2.1,3.8,5.9,0.8,0.8,0.1,0.6,9.7
113,Eddie Phillips,,1982,48,8.7,3.2,1.2,2.9,40.6,0,0,0,0.8,1.2,67.8,0.6,1,1.6,0.6,0.3,0.2,1,2.7
114,Edmund Sherod,,1982,64,25.4,6.2,2.7,6.6,40.6,0,0.2,7.7,0.8,1.3,65,0.7,1.7,2.3,4.9,1.5,0.2,1.6,9.1
115,James Worthy,2003,1982,77,25.6,13.4,5.8,10,57.9,0,0.1,25,1.8,2.9,62.4,2,3.1,5.2,1.7,1.2,0.8,2.3,14.7
116,Jerry Eaves,,1982,82,19.4,9.3,3.4,7,48.7,0,0.1,12.5,2.4,3,81,0.4,1.1,1.5,2.6,0.6,0,1.9,8
117,Jim Johnstone,,1982,23,8.3,1.3,0.5,1.3,36.7,0,0,0,0.4,0.9,45,0.7,1.3,2,0.5,0.1,0.3,0.7,2.3
118,John Bagley,,1982,68,14.6,5.7,2.4,5.5,43.2,0,0.2,0,0.9,1.2,76.2,0.3,1.2,1.4,2.5,0.8,0.1,1.7,5.3
119,Jose Slaughter,,1982,63,8.2,3.6,1.4,3.8,37.4,0.1,0.7,22,0.6,0.9,64.4,0.5,0.5,1.1,0.8,0.6,0.1,0.7,2.8
120,Lafayette Lever,,1982,81,24.9,7.8,3.2,7.3,43.1,0.1,0.2,33.3,1.4,2,73,1,1.7,2.8,5.3,1.9,0.2,1.7,11.5
121,LaSalle Thompson,,1982,71,13.9,5.4,2.1,4,51.2,0,0,0,1.3,1.9,65,1.9,3.4,5.3,0.5,0.6,0.9,1.4,8.6
122,Lester Conner,,1982,75,18.9,4.9,1.9,4,47.9,0,0.1,0,1.1,1.5,69.9,0.9,2,2.9,3.4,1.6,0.1,1.3,9
123,Linton Townes,,1982,55,9.4,4.5,1.9,4.3,44.9,0.2,0.5,36,0.5,0.7,73.7,0.5,0.6,1.2,0.6,0.3,0.1,0.6,3.5
124,Marc Iavaroni,,1982,80,20.2,5.1,2,4.4,46.2,0,0,0,1,1.4,69,1.5,2.7,4.1,1,0.4,0.6,1.7,6.7
125,Mark Eaton,,1982,81,18.9,4.3,1.8,4.4,41.4,0,0,0,0.7,1.1,65.6,1.1,4.6,5.7,1.4,0.3,3.4,1.7,10.4
126,Mark McNamara,,1982,36,5.1,2.2,0.8,1.8,45.3,0,0,0,0.6,1.3,44.4,0.9,1.2,2.1,0.2,0.1,0.1,1,2
127,Mitchell Anderson,,1982,65,18.5,7.4,2.9,5.8,50.1,0,0.1,0,1.5,2.7,57.1,1.8,2.7,4.5,1,1,0.3,1.2,9
128,Oliver Robinson,,1982,35,4.2,2.9,1,2.8,36.1,0,0.3,9.1,0.9,1.3,66.7,0.2,0.3,0.5,0.6,0.1,0.1,0.4,1.6
129,Paul Pressey,,1982,79,19.3,6.7,2.7,5.9,45.7,0,0.1,11.1,1.3,2.2,59.7,1.1,2.5,3.6,2.6,1.3,0.6,2,8.6
130,Quintin Dailey,,1982,76,27.4,15.1,6.2,13.3,46.6,0.1,0.3,20,2.7,3.7,73,1.1,2.3,3.4,3.7,0.9,0.1,2.7,12.6
131,Richard Anderson,,1982,78,16.3,5.2,2.2,5.5,40.4,0.1,0.2,36.8,0.6,0.9,69.6,1.4,2.1,3.5,1.5,0.7,0.3,1.2,6.5
132,Rickey Williams,,1982,44,7.9,3.3,1.3,3.1,41.5,0,0.1,0,0.8,1.2,66,0.3,0.5,0.9,0.8,0.5,0.1,0.9,2.5
133,Ricky Pierce,,1982,39,6.8,2.2,0.8,2.3,37.5,0,0.2,14.3,0.5,0.8,56.3,0.4,0.5,0.9,0.4,0.2,0.1,0.5,1.5
134,Rob Williams,,1982,74,19.5,7,2.6,6.3,40.8,0,0.2,13.3,1.8,2.4,75.3,0.5,1.3,1.8,4.9,1.2,0.2,2.5,8.2
135,Rod Higgins,,1982,82,26.8,10.3,3.8,8.5,44.8,0.2,0.5,31.7,2.5,3.2,79.2,1.9,2.5,4.5,2.1,0.8,0.8,1.6,11.6
136,Rory White,,1982,65,9.6,5,2,3.6,54.3,0,0,0,1.1,1.7,64.2,0.7,0.9,1.6,0.5,0.3,0,0.8,4.3
137,Russ Schoene,,1982,77,15.9,6.2,2.7,5.6,47.6,0,0.1,25,0.8,1.1,73.5,1.2,2.1,3.3,0.8,0.3,0.3,1.1,6.6
138,Scott Hastings,,1982,31,4.5,1.2,0.4,1.2,34.2,0,0.1,0,0.4,0.6,55,0.5,0.8,1.3,0.1,0.2,0,0.3,1.5
139,Sleepy Floyd,,1982,76,16.4,8.1,3,6.9,42.9,0.1,0.3,40,2,2.4,83.3,0.7,1.1,1.8,1.8,0.8,0.2,1.4,6.9
140,Terry Cummings,,1982,70,36.2,23.7,9.8,18.7,52.3,0,0,0,4.2,5.9,70.9,4.3,6.3,10.6,2.5,1.8,0.9,2.9,26
141,Terry Teagle,,1982,73,23.4,10.4,4.5,10.6,42.8,0.1,0.4,34.5,1.2,1.7,69.6,1,1.6,2.7,2.1,0.7,0.3,1.9,7.6
142,Trent Tucker,,1982,78,23.5,8.4,3.8,8.3,46.2,0.2,0.4,46.7,0.6,0.8,67.2,1,1.8,2.8,2.5,0.7,0.1,0.9,8.8
143,Walker Russell,,1982,68,11.1,2.7,1,2.7,36.4,0,0.3,11.1,0.7,0.9,81,0.3,0.8,1.1,1.9,0.2,0,1.4,2.7
144,Bob Hansen,,1983,55,7.6,2.7,1.2,2.6,44.8,0,0.1,0,0.3,0.5,64.3,0.2,0.6,0.9,0.8,0.3,0.1,0.6,2.4
145,Bruce Kuczenski,,1983,15,7.9,1.9,0.7,2.5,27,0,0,0,0.5,0.8,66.7,0.5,1.1,1.5,0.5,0.1,0.1,1,1
146,Byron Scott,,1983,74,22.1,10.6,4.5,9.3,48.4,0.1,0.5,23.5,1.5,1.9,80.6,0.7,1.5,2.2,2.4,1.1,0.3,1.6,9.9
147,Clyde Drexler,2004,1983,82,17.2,7.7,3.1,6.8,45.1,0,0,25,1.5,2.1,72.8,1.4,1.5,2.9,1.9,1.3,0.3,1.5,8.2
148,Dale Ellis,,1983,67,15.8,8.2,3.4,7.4,45.6,0.2,0.4,41.4,1.3,1.8,71.9,1.6,2.1,3.7,0.8,0.6,0.1,1.2,7.8
149,Dane Suttle,,1983,40,11.7,6.5,2.7,5.4,50.9,0,0.1,0,1,1.2,85.1,0.5,0.6,1.2,1.2,0.5,0,0.8,5.7
150,Darrell Walker,,1983,82,16.1,7.9,2.6,6.3,41.7,0,0.2,26.7,2.5,3.2,79.1,0.9,1.1,2,3.5,1.6,0.2,2.4,8.4
151,Darren Daye,,1983,75,15.7,6.1,2.4,5.4,44.1,0,0.1,0,1.3,1.8,71.4,1.2,1.3,2.5,2.3,0.5,0.2,1.3,6.8
152,Derek Harper,,1983,82,20.9,5.7,2.4,5.5,44.3,0,0.3,11.5,0.8,1.2,67.3,0.6,1.5,2.1,2.9,1.2,0.3,1.4,7.3
153,Doc Rivers,,1983,81,23.9,9.3,3.1,6.7,46.2,0,0.1,16.7,3.1,4,78.5,0.9,1.8,2.7,3.9,1.6,0.4,2.1,11.3
154,Ennis Whatley,,1983,80,27,8.4,3.3,7,46.9,0,0,0,1.8,2.5,73,0.8,1.7,2.5,8.3,1.5,0.2,3.4,13.1
155,Fred Roberts,,1983,79,19.4,7.3,2.7,5.1,53.6,0,0.1,25,1.8,2.2,83.7,1.3,2.6,3.8,1.2,0.7,0.5,1.3,9.5
156,Granville Waiters,,1983,78,13.3,3.6,1.6,3.1,51.7,0,0,0,0.4,0.7,60.8,0.8,2.1,2.9,0.8,0.3,1.1,0.8,6.1
157,Greg Kite,,1983,35,5.6,1.9,0.9,1.9,45.5,0,0,0,0.1,0.5,31.3,0.8,1,1.8,0.2,0,0.1,0.6,2.1
158,Howard Carter,,1983,55,12.5,6.2,2.6,5.7,45.9,0.1,0.3,26.3,0.9,1.1,77,0.7,0.9,1.6,1.3,0.3,0.1,0.8,5.4
159,Jeff Malone,,1983,81,24.4,12.1,5,11.3,44.4,0.3,0.9,32.4,1.8,2.1,82.6,0.7,1.2,1.9,1.9,0.3,0.2,1.4,8.3
160,Jim Thomas,,1983,72,16.9,6.3,2.6,5.6,46.4,0,0.2,9.1,1.1,1.5,72.7,0.8,1.3,2.1,1.8,0.8,0.1,1,6.7
